Realisation number,Variable,index,Variance,Smax/Var,Lag-2 AC,Lag-1 AC,Coefficient of variation,Smax,Standard deviation,Lag-3 AC,Kurtosis,Cross correlation
1,x,0,0.982692107183818,0.8095238095238096,0.862162443957877,-0.9551663017412158,0.9697633197789594,1.0,0.982692107183818,-0.8121155249713273,0.15358148263997498,0.8087790637055572
1,y,0,0.9570430612032113,0.8095238095238096,0.8688353664894171,-0.9737253675320612,0.9411948701908038,0.8095238095238096,0.9570430612032113,-0.8033573141486811,-0.37816703159211756,0.8087790637055572
2,x,0,0.9641330413929725,0.6190476190476191,0.8775935773120633,-0.8692524241476384,0.9409863413616932,0.7142857142857143,0.9641330413929725,-0.48013762902721296,0.1333541862162444,0.7797935564591804
2,y,0,0.8980294025649045,0.5238095238095238,0.831717234907726,-0.9401522260452507,0.8479824835783546,0.7142857142857143,0.8980294025649045,-0.5787717651965384,0.24470858096131787,0.7797935564591804
3,x,0,0.9728912522156187,0.9047619047619049,0.6290272130121989,-0.9024085079762276,0.9391095818996975,1.0,0.9728912522156187,-0.341257428839537,-0.4661661974768011,0.7962673339589197
3,y,0,0.9338963611719319,0.7142857142857143,0.8208737357939734,-0.9576686476905432,0.8967782295902408,0.9047619047619049,0.9338963611719319,0.3698258784276926,-0.4473986028568449,0.7962673339589197
4,x,0,0.9247210926910645,0.33333333333333337,0.8069023042435617,-0.9528724846209988,0.8976123449066833,0.9047619047619049,0.9247210926910645,-0.043269732040454596,0.4448962569075174,0.829423417787509
4,y,0,0.8894797205713689,0.6190476190476191,0.8071108330726723,-0.9835262225002606,0.8279637159837347,0.8095238095238096,0.8894797205713689,-0.676780314878532,-0.4286310082368887,0.829423417787509
5,x,0,0.9213846314252944,0.5238095238095238,0.4455218433948493,-0.7332916275675111,0.8869773746220415,0.6190476190476191,0.9213846314252944,0.048691481597330825,0.39901991450318003,0.5376915858617454
5,y,0,0.753935981649463,0.4285714285714286,0.8275466583255134,-0.9489104368678969,0.5952455426962777,0.8095238095238096,0.753935981649463,-0.5041184443749348,-0.49869669481805856,0.5376915858617454
